Common Name,Scientific Name,2024-05-31,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,Total
Southern Boobook,Ninox boobook,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,67,0,0,0,1,0,0,0,0,5,0,81
Striated Pardalote,Pardalotus striatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,6
Striated Thornbill,Acanthiza lineata,0,0,11,0,1,0,1,0,3,0,3,0,0,0,10,2,0,0,0,0,1,0,0,6,3,0,4,0,6,0,0,51
Sulphur-crested Cockatoo,Cacatua galerita,1,17,102,53,177,54,3,9,51,59,20,95,24,15,61,13,29,47,65,45,41,35,69,17,11,10,15,0,0,19,9,1166
Superb Fairywren,Malurus cyaneus,2,0,1,0,0,0,0,0,13,1,0,0,4,3,0,0,0,0,0,0,0,18,89,8,12,9,23,0,9,11,1,204
Superb Lyrebird,Menura novaehollandiae,0,0,0,1,5,0,0,0,0,0,2,0,0,4,0,0,0,4,1,0,0,2,0,4,1,0,0,0,3,0,0,27
Tawny Frogmouth,Podargus strigoides,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Torresian Crow,Corvus orru,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8
Welcome Swallow,Hirundo neoxena,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
White-browed Scrubwren,Sericornis frontalis,0,37,25,0,3,0,0,0,7,10,0,0,0,3,1,0,0,0,16,2,6,45,4,49,4,4,46,0,2,0,19,283
White-throated Treecreeper,Cormobates leucophaea,0,1,5,0,6,0,0,0,1,0,0,0,0,4,2,1,0,0,6,7,9,1,5,2,15,0,3,1,1,1,0,71
Yellow Thornbill,Acanthiza nana,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,0,0,5,0,0,0,0,0,8,16,0,1,1,0,14,0,0,1,8,0,3,0,2,7,2,7,26,0,18,5,0,124
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,0,1,1,1,3,3,0,0,0,3,1,1,0,23,0,0,2,0,1,0,2,0,1,9,1,0,2,4,4,13,0,76
Grand,Total:,42,601,1645,665,1309,812,765,366,1311,931,632,1197,142,927,1022,1087,627,959,1325,779,838,1087,894,809,1375,1892,1527,46,705,784,448,27549
